id,filename,name,category,subcategory,color_family,shape_variant,tags,width,height,alpha,bbox
rpg_0001,Icon1.png,straight sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[4, 5, 28, 28]"
rpg_0002,Icon2.png,blue-hilt sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[4, 2, 30, 31]"
rpg_0003,Icon3.png,blue crystal sword,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0004,Icon4.png,dark greatsword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[2, 2, 31, 31]"
rpg_0005,Icon5.png,gold-hilt sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[4, 1, 30, 31]"
rpg_0006,Icon6.png,ornate silver sword,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0007,Icon7.png,curved gold blade,weapon,sword,silver/gray,,"combat, equipment, sword, weapon",32,32,True,"[2, 4, 31, 31]"
rpg_0008,Icon8.png,short sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0009,Icon9.png,blue short sword,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[3, 3, 31, 31]"
rpg_0010,Icon10.png,silver short sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[4, 4, 30, 30]"
rpg_0011,Icon11.png,gold-hilt dagger,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 1, 31, 31]"
rpg_0012,Icon12.png,blue dagger,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[2, 2, 31, 31]"
rpg_0013,Icon13.png,heavy blue blade,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[1, 1, 32, 32]"
rpg_0014,Icon14.png,ornate short sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0015,Icon15.png,hooked blade,weapon,sword,blue,,"blue, combat, equipment, sword, weapon",32,32,True,"[2, 2, 29, 30]"
rpg_0016,Icon16.png,heavy axe-like blade,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0017,Icon17.png,curved ornate sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0018,Icon18.png,spiked mace flail,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0019,Icon19.png,broad silver sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0020,Icon20.png,dark rune sword,weapon,sword,dark/black,,"combat, dark, equipment, sword, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0021,Icon21.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[5, 5, 27, 27]"
rpg_0022,Icon22.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 3, 30, 30]"
rpg_0023,Icon23.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[2, 2, 29, 28]"
rpg_0024,Icon24.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[3, 3, 27, 27]"
rpg_0025,Icon25.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[4, 4, 29, 29]"
rpg_0026,Icon26.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[3, 3, 27, 30]"
rpg_0027,Icon27.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[4, 4, 30, 30]"
rpg_0028,Icon28.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0029,Icon29.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0030,Icon30.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[3, 1, 30, 30]"
rpg_0031,Icon31.png,silver mace / club,weapon,mace,silver/gray,,"combat, equipment, mace, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0032,Icon32.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0033,Icon33.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0034,Icon34.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0035,Icon35.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0036,Icon36.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0037,Icon37.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0038,Icon38.png,brown mace / club,weapon,mace,brown/orange,,"brown, combat, equipment, mace, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0039,Icon39.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0040,Icon40.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[3, 3, 29, 28]"
rpg_0041,Icon41.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0042,Icon42.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[1, 1, 28, 28]"
rpg_0043,Icon43.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0044,Icon44.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 1, 30, 28]"
rpg_0045,Icon45.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0046,Icon46.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0047,Icon47.png,silver mace / club,weapon,mace,silver/gray,,"combat, equipment, mace, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0048,Icon48.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0049,Icon49.png,blue mace / club,weapon,mace,blue,,"blue, combat, equipment, mace, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0050,Icon50.png,dark mace / club,weapon,mace,dark/black,,"combat, dark, equipment, mace, weapon",32,32,True,"[2, 2, 30, 29]"
rpg_0051,Icon51.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0052,Icon52.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0053,Icon53.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0054,Icon54.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[1, 4, 29, 29]"
rpg_0055,Icon55.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[1, 1, 28, 28]"
rpg_0056,Icon56.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[3, 1, 31, 29]"
rpg_0057,Icon57.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 3, 27, 27]"
rpg_0058,Icon58.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 7, 27, 27]"
rpg_0059,Icon59.png,brown polearm / spear,weapon,polearm,brown/orange,,"brown, combat, equipment, polearm, weapon",32,32,True,"[2, 5, 28, 28]"
rpg_0060,Icon60.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[1, 6, 27, 27]"
rpg_0061,Icon61.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0062,Icon62.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0063,Icon63.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[4, 4, 29, 29]"
rpg_0064,Icon64.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0065,Icon65.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[1, 1, 31, 31]"
rpg_0066,Icon66.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0067,Icon67.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[1, 0, 30, 30]"
rpg_0068,Icon68.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0069,Icon69.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0070,Icon70.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 1, 30, 30]"
